root_serial_type,root_serial,local_time,result,defects,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,epoxy.items.cavity,epoxy.items.ct,epoxy.items.degas_machine_id,epoxy.items.epoxy_batch1,epoxy.items.epoxy_batch2,epoxy.items.epoxy_batch3,epoxy.items.epoxy_batch4,epoxy.items.epoxy_pressure1,epoxy.items.epoxy_pressure2,epoxy.items.station_id
wip_id,F9F237404LV1Y82AX,2022-09-06 17:47:48,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.33,5,383193,,,,13.02,13.07,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F237405U71Y82AU,2022-09-06 17:47:49,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.63,2,393827,,,,18.38,18.36,LFDG_MEG3_OQC1_02_EPOXY
wip_id,F9F2374074Q1Y82AD,2022-09-06 17:47:52,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.44,5,383193,,,,11.33,11.24,LFDG_MEG3_OQC1_06_EPOXY
wip_id,F9F237406LD1Y82AB,2022-09-06 17:47:53,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.50,3,389725,,,,14.87,15.15,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F237405G91Y82AU,2022-09-06 17:47:59,passed,,Ramp,Everwin,TI,N199,Baoti,A2,33.01,3,389725,,,,12.47,12.30,LFDG_MEG3_OQC1_03_EPOXY
wip_id,F9F237404KU1Y82A1,2022-09-06 17:48:03,passed,,Ramp,Everwin,TI,N199,Baoti,A2,31.71,5,383193,,,,16.68,16.80,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F23740CAQ1Y82AQ,2022-09-06 17:48:05,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.24,2,393827,,,,15.27,15.83,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F23740C7Q1Y82AZ,2022-09-06 17:48:12,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.32,2,393827,,,,16.85,17.03,LFDG_MEG3_OQC1_02_EPOXY
wip_id,F9F237406UX1Y82A3,2022-09-06 17:48:14,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.72,3,389725,,,,13.57,13.51,LFDG_MEG3_OQC1_03_EPOXY
wip_id,F9F23740AFU1Y82A7,2022-09-06 17:48:18,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.24,5,383193,,,,12.24,12.17,LFDG_MEG3_OQC1_06_EPOXY
wip_id,F9F237401681Y82AV,2022-09-06 17:48:20,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.14,3,389725,,,,17.58,17.52,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F23740C8D1Y82A7,2022-09-06 17:48:24,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.32,2,393827,,,,16.52,16.54,LFDG_MEG3_OQC1_01_EPOXY
