root_serial_type,root_serial,local_time,result,defects,configs.Bin,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,fg-bc-le.items.fg_sn,fg-bc-le.items.station_id,fg-bc-le.items.wip_sn
wip_id,F9F23420K1K1Y82AS,2022-09-06 19:40:39,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303W824GQ46,LFDG_KY-7D2F-OQC1_02_FG-BC-LE,F9F23420K1K1Y82AS
wip_id,F9F234205V41Y82A5,2022-09-06 19:40:43,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303W924GQ45,LFDG_KY-7D2F-OQC1_08_FG-BC-LE,F9F234205V41Y82A5
wip_id,F9F234707PN1Y82AY,2022-09-06 19:40:46,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303WA24GQ44,LFDG_KY-7D2F-OQC1_10_FG-BC-LE,F9F234707PN1Y82AY
wip_id,F9F23420D401Y82A8,2022-09-06 19:40:49,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303WB24GQ43,LFDG_KY-7D2F-OQC1_05_FG-BC-LE,F9F23420D401Y82A8
wip_id,F9F23440DGC1Y82AS,2022-09-06 19:40:52,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303WC24GQ42,LFDG_KY-7D2F-OQC1_03_FG-BC-LE,F9F23440DGC1Y82AS
wip_id,F9F234408NP1Y82A2,2022-09-06 19:40:55,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303WD24GQ41,LFDG_KY-7D2F-OQC1_09_FG-BC-LE,F9F234408NP1Y82A2
wip_id,F9F234406JS1Y82AD,2022-09-06 19:40:59,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303WE24GQ40,LFDG_KY-7D2F-OQC1_01_FG-BC-LE,F9F234406JS1Y82AD
wip_id,F9F232507UY1Y82AF,2022-09-06 19:41:00,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303WF24GQ4Z,LFDG_KY-7D2F-OQC1_02_FG-BC-LE,F9F232507UY1Y82AF
wip_id,F9F23460EUV1Y82A4,2022-09-06 19:41:04,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303WG24GQ4Y,LFDG_KY-7D2F-OQC1_08_FG-BC-LE,F9F23460EUV1Y82A4
wip_id,F9F234600BU1Y82A2,2022-09-06 19:41:04,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303WH24GQ4X,LFDG_KY-7D2F-OQC1_10_FG-BC-LE,F9F234600BU1Y82A2
