root_serial_type,root_serial,local_time,result,defects,configs.Bin,configs.Build,configs.DOE,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,color.Color_A_Star_Volcano,color.Color_B_Star_Volcano,color.Color_L_Star_Volcano,color.insight.test_attributes.test_result,color.insight.test_attributes.unit_serial_number,color.insight.test_attributes.uut_start,color.insight.test_attributes.uut_stop,color.insight.test_station_attributes.fixture_id,color.insight.test_station_attributes.head_id,color.insight.test_station_attributes.line_id,color.insight.test_station_attributes.machine_id,color.insight.test_station_attributes.software_name,color.insight.test_station_attributes.software_version,color.insight.test_station_attributes.station_id,color.insight.uut_attributes.Dot_SN,color.insight.uut_attributes.Trace_SN,color.insight.uut_attributes.bin,color.properties.Bin
wip_id,F9F2356062J1Y82AW,2022-09-07 02:51:32,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.524,6.612,68.133,pass,F9F2356062J1Y82AW,2022-09-07 02:50:59,2022-09-07 02:51:32,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F2356062J1Y82AW,BinA,BinA
wip_id,F9F23570C0D1Y82A0,2022-09-07 02:51:32,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.551,6.358,68.276,pass,F9F23570C0D1Y82A0,2022-09-07 02:50:59,2022-09-07 02:51:32,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F23570C0D1Y82A0,BinA,BinA
wip_id,F9F23530AZ81Y82AE,2022-09-07 02:51:32,passed,,BinO,Ramp,,Everwin,TI,N199,Baoti,0.571,6.91,67.266,pass,F9F23530AZ81Y82AE,2022-09-07 02:50:59,2022-09-07 02:51:32,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F23530AZ81Y82AE,BinO,BinO
wip_id,F9F234706ZR1Y82A0,2022-09-07 02:51:32,passed,,BinO,Ramp,,Everwin,TI,N199,Baoti,0.552,6.713,66.761,pass,F9F234706ZR1Y82A0,2022-09-07 02:50:59,2022-09-07 02:51:32,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F234706ZR1Y82A0,BinO,BinO
wip_id,F9F23450G6F1Y82AF,2022-09-07 02:51:32,passed,,BinO,Ramp,,Everwin,TI,N199,KRS,0.581,6.986,68.171,pass,F9F23450G6F1Y82AF,2022-09-07 02:50:59,2022-09-07 02:51:32,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F23450G6F1Y82AF,BinO,BinO
wip_id,F9F23550E2U1Y82AD,2022-09-07 02:51:32,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.586,6.574,65.059,pass,F9F23550E2U1Y82AD,2022-09-07 02:50:59,2022-09-07 02:51:32,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F23550E2U1Y82AD,BinA,BinA
wip_id,F9F234405GV1Y82AH,2022-09-07 02:51:49,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.905,6.322,67.215,pass,F9F234405GV1Y82AH,2022-09-07 02:51:15,2022-09-07 02:51:49,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F234405GV1Y82AH,BinA,BinA
wip_id,F9F236201SS1Y82AQ,2022-09-07 02:51:49,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.936,6.305,66.042,pass,F9F236201SS1Y82AQ,2022-09-07 02:51:15,2022-09-07 02:51:49,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F236201SS1Y82AQ,BinA,BinA
wip_id,F9F23540D7H1Y82AB,2022-09-07 02:51:49,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.931,6.677,68.287,pass,F9F23540D7H1Y82AB,2022-09-07 02:51:15,2022-09-07 02:51:49,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F23540D7H1Y82AB,BinA,BinA
wip_id,F9F235500831Y82A0,2022-09-07 02:51:49,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.969,6.658,66.36,pass,F9F235500831Y82A0,2022-09-07 02:51:15,2022-09-07 02:51:49,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F235500831Y82A0,BinA,BinA
