root_serial_type,root_serial,local_time,result,defects,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,ano.insight.test_attributes.test_result,ano.insight.test_attributes.uut_start,ano.insight.test_attributes.uut_stop,ano.insight.test_station_attributes.software_name,ano.insight.test_station_attributes.software_version,ano.insight.test_station_attributes.station_id,ano.insight.uut_attributes.ano_tank_id,ano.insight.uut_attributes.cp_tank_id,ano.insight.uut_attributes.dye_tank_id,ano.insight.uut_attributes.fly_bar_id,ano.insight.uut_attributes.fly_bar_locX,ano.insight.uut_attributes.fly_bar_locY,ano.insight.uut_attributes.fly_bar_locZ,ano.insight.uut_attributes.rack_id,ano.insight.uut_attributes.seal_tank_id
wip_id,F9F235600EY1Y82AL,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F235604691Y82AV,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F227703QZ1Y82AE,2022-09-06 08:26:34,passed,,Ramp,Herchang,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F235609MP1Y82AZ,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236200YZ1Y82A0,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F2356092G1Y82AV,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23550H561Y82AP,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236309461Y82AZ,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F2363024Z1Y82AD,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23570D5N1Y82A9,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F235502L91Y82AQ,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23570A8Z1Y82AS,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23130L7Q1Y82AA,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,KRS,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23630BDW1Y82AE,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23240HR31Y82AA,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F227301D41Y82AE,2022-09-06 08:26:34,passed,,Ramp,Herchang,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236303ZV1Y82AX,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23560BCQ1Y82AP,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F235405M91Y82AK,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236202JQ1Y82AF,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F235703741Y82AX,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23550F1C1Y82AX,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236309MH1Y82A5,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,KRS,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23530GDF1Y82AT,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,KRS,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236301T31Y82A9,2022-09-06 08:26:34,passed,,Ramp,Herchang,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23570CB91Y82A5,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F2356047W1Y82A5,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236206TR1Y82AH,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23520F351Y82A1,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,KRS,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236204EZ1Y82AG,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F230406JS1Y82AR,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F2363097B1Y82AK,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
